จำนวนการเกิด จากการทะเบียน จำแนกตามเพศ ภาค และจังหวัด พ.ศ. 2555 - 2565,,,,,,,,,,,,,
หน่วย : คน,,,,,,,,,,,,,
,สุพรรณบุรี,รวม,"9,368","8,979","8,990","8,307","7,766","7,689","7,398","6,729","6,545","6,109","5,483"
,,ชาย,"4,810","4,618","4,671","4,304","4,029","3,952","3,811","3,378","3,325","3,122","2,858"
,,หญิง,"4,558","4,361","4,319","4,003","3,737","3,737","3,587","3,351","3,220","2,987","2,625"
,นครปฐม,รวม,"9,731","9,491","9,301","8,896","8,545","8,442","7,936","7,256","6,587","6,056","5,553"
,,ชาย,"5,082","4,927","4,808","4,573","4,342","4,290","4,047","3,726","3,403","3,082","2,843"
,,หญิง,"4,649","4,564","4,493","4,323","4,203","4,152","3,889","3,530","3,184","2,974","2,710"
,สมุทรสาคร,รวม,"12,212","13,484","13,915","13,839","13,065","13,032","10,702","7,798","7,598","6,550","6,466"
,,ชาย,"6,401","6,995","7,122","7,111","6,847","6,827","5,607","4,001","3,954","3,335","3,316"
,,หญิง,"5,811","6,489","6,793","6,728","6,218","6,205","5,095","3,797","3,644","3,215","3,150"
,สมุทรสงคราม,รวม,"1,459","1,466","1,484","1,366","1,197","1,143","1,079",885,865,843,757
,,ชาย,754,752,741,723,616,610,574,435,447,406,365
,,หญิง,705,714,743,643,581,533,505,450,418,437,392
,เพชรบุรี,รวม,"4,937","4,632","4,707","4,465","4,351","4,330","3,943","3,609","3,526","3,225","2,975"
,,ชาย,"2,564","2,376","2,430","2,262","2,234","2,220","2,007","1,850","1,814","1,629","1,537"
,,หญิง,"2,373","2,256","2,277","2,203","2,117","2,110","1,936","1,759","1,712","1,596","1,438"
,ประจวบคีรีขันธ์,รวม,"7,173","6,789","6,971","6,677","6,571","6,562","5,780","5,370","5,099","4,621","4,322"
,,ชาย,"3,713","3,474","3,608","3,393","3,397","3,409","2,994","2,815","2,662","2,394","2,183"
,,หญิง,"3,460","3,315","3,363","3,284","3,174","3,153","2,786","2,555","2,437","2,227","2,139"
ภาคเหนือ,ภาคเหนือ,รวม,"118,958","114,366","113,458","108,005","103,058","107,074","101,940","96,710","90,784","85,050","80,432"
,,ชาย,"61,268","58,828","58,245","55,477","52,976","55,371","52,569","49,692","46,772","43,960","41,636"
,,หญิง,"57,690","55,538","55,213","52,528","50,082","51,703","49,371","47,018","44,012","41,090","38,796"
,เชียงใหม่,รวม,"20,394","20,884","21,181","21,038","19,789","20,252","19,422","17,613","17,013","15,719","14,326"
,,ชาย,"10,448","10,784","10,941","10,706","10,080","10,395","9,995","9,051","8,737","8,105","7,328"
,,หญิง,"9,946","10,100","10,240","10,332","9,709","9,857","9,427","8,562","8,276","7,614","6,998"
,ลำพูน,รวม,"3,575","3,446","3,473","3,315","3,188","3,114","3,038","2,747","2,592","2,420","2,370"
,,ชาย,"1,813","1,743","1,769","1,645","1,686","1,611","1,548","1,385","1,292","1,291","1,213"
,,หญิง,"1,762","1,703","1,704","1,670","1,502","1,503","1,490","1,362","1,300","1,129","1,157"
,ลำปาง,รวม,"5,339","4,917","4,729","4,546","4,470","4,358","4,126","3,848","3,633","3,519","3,125"
,,ชาย,"2,764","2,500","2,398","2,351","2,290","2,276","2,149","1,934","1,866","1,839","1,610"
,,หญิง,"2,575","2,417","2,331","2,195","2,180","2,082","1,977","1,914","1,767","1,680","1,515"
,อุตรดิตถ์,รวม,"3,989","3,748","3,619","3,232","3,168","3,121","2,796","2,651","2,530","2,411","2,331"
,,ชาย,"2,075","1,963","1,804","1,652","1,618","1,652","1,425","1,401","1,293","1,251","1,228"
,,หญิง,"1,914","1,785","1,815","1,580","1,550","1,469","1,371","1,250","1,237","1,160","1,103"
,แพร่,รวม,"3,329","2,975","3,060","2,983","2,694","2,619","2,479","2,353","2,153","2,091","1,865"
,,ชาย,"1,663","1,495","1,550","1,529","1,375","1,382","1,264","1,245","1,110","1,086",954
,,หญิง,"1,666","1,480","1,510","1,454","1,319","1,237","1,215","1,108","1,043","1,005",911
,น่าน,รวม,"4,273","4,071","3,881","3,621","3,654","3,469","3,261","3,203","3,142","2,916","2,881"
,,ชาย,"2,178","2,060","1,973","1,906","1,885","1,803","1,659","1,632","1,622","1,473","1,466"
,,หญิง,"2,095","2,011","1,908","1,715","1,769","1,666","1,602","1,571","1,520","1,443","1,415"
,พะเยา,รวม,"3,980","3,715","3,642","3,436","3,407","3,338","3,214","3,066","2,823","2,666","2,540"
,,ชาย,"2,015","1,872","1,910","1,693","1,739","1,763","1,658","1,581","1,497","1,410","1,273"
,,หญิง,"1,965","1,843","1,732","1,743","1,668","1,575","1,556","1,485","1,326","1,256","1,267"
,เชียงราย,รวม,"12,399","12,018","11,784","11,326","10,899","11,555","11,158","10,991","10,371","9,287","8,853"
,,ชาย,"6,473","6,187","6,073","5,829","5,621","5,992","5,753","5,680","5,300","4,773","4,592"
,,หญิง,"5,926","5,831","5,711","5,497","5,278","5,563","5,405","5,311","5,071","4,514","4,261"
,แม่ฮ่องสอน,รวม,"3,352","3,392","3,226","3,210","3,035","4,126","4,456","3,759","3,450","3,288","3,041"
,,ชาย,"1,705","1,711","1,591","1,688","1,563","2,133","2,346","1,911","1,774","1,657","1,574"
,,หญิง,"1,647","1,681","1,635","1,522","1,472","1,993","2,110","1,848","1,676","1,631","1,467"
,นครสวรรค์,รวม,"10,813","10,193","9,934","9,426","8,699","8,433","7,683","7,034","7,089","6,605","6,306"
,,ชาย,"5,557","5,244","5,120","4,802","4,499","4,399","4,015","3,634","3,672","3,434","3,322"
,,หญิง,"5,256","4,949","4,814","4,624","4,200","4,034","3,668","3,400","3,417","3,171","2,984"
,อุทัยธานี,รวม,"3,263","3,061","2,945","2,830","2,555","2,505","2,526","2,342","2,258","2,124","1,912"
,,ชาย,"1,658","1,610","1,484","1,452","1,341","1,275","1,294","1,230","1,161","1,121",983
,,หญิง,"1,605","1,451","1,461","1,378","1,214","1,230","1,232","1,112","1,097","1,003",929
,กำแพงเพชร,รวม,"6,397","6,054","6,150","5,490","5,251","5,099","4,746","4,482","4,226","4,257","3,834"
,,ชาย,"3,307","3,137","3,245","2,857","2,685","2,720","2,423","2,370","2,197","2,197","1,999"
